tumour_id,tr1,tr2,normal_id,nr1,nr2
HUM-1,data/HUM-1_mapped.1.fastq.gz,data/HUM-1_mapped.2.fastq.gz,HUM-3,data/HUM-3_mapped.1.fastq.gz,data/HUM-3_mapped.2.fastq.gz
HUM-4,data/HUM-4_mapped.1.fastq.gz,data/HUM-4_mapped.2.fastq.gz,HUM-6,data/HUM-6_mapped.1.fastq.gz,data/HUM-6_mapped.2.fastq.gz
