tumour_id,tr1,tr2,normal_id,nr1,nr2
HUM-1,data/HUM-1_R1.NoAdaptPR_dwnsmp.fastq.gz,data/HUM-1_R2.NoAdaptPR_dwnsmp.fastq.gz,HUM-3,data/HUM-3_R1.NoAdaptPR_dwnsmp.fastq.gz,data/HUM-3_R2.NoAdaptPR_dwnsmp.fastq.gz
HUM-4,data/HUM-4_R1.NoAdaptPR_dwnsmp.fastq.gz,data/HUM-4_R2.NoAdaptPR_dwnsmp.fastq.gz,HUM-6,data/HUM-6_R1.NoAdaptPR_dwnsmp.fastq.gz,data/HUM-6_R2.NoAdaptPR_dwnsmp.fastq.gz
